[1.243146, 1.243146, -0.271508, 0.480965, 0.238783, -0.0134, -0.0134, 0.9999]
[1.184205, 1.184205, -0.271508, 0.474816, 0.24261701, -0.0128, -0.0128, 0.9999]
[1.189604, 1.189604, -0.271508, 0.474641, 0.24220097, -0, -0, 1]
[1.243146, 1.243146, -0.271508, 0.480965, 0.238783, -0.0133, -0.0133, 0.9999]
[1.189604, 1.189604, -0.271508, 0.474641, 0.24220097, -0, -0, 1]
[1.248783, 1.248783, -0.271508, 0.480818, 0.23835301, -0, -0, 1]
[1.184205, 1.184205, -0.271508, 0.474816, 0.24261701, -0.0127, -0.0127, 0.9999]
[1.12529, 1.12529, -0.271508, 0.469747, 0.24654198, -0.012, -0.012, 0.9999]
[1.130452, 1.130452, -0.271508, 0.469549, 0.24614298, -0, -0, 1]
[1.184205, 1.184205, -0.271508, 0.474816, 0.24261701, -0.0127, -0.0127, 0.9999]
[1.130452, 1.130452, -0.271508, 0.469549, 0.24614298, -0, -0, 1]
[1.189604, 1.189604, -0.271508, 0.474641, 0.24220097, -0, -0, 1]
[1.189604, 1.189604, -0.271508, 0.474641, 0.24220097, -0, -0, 1]
[1.130452, 1.130452, -0.271508, 0.469549, 0.24614298, -0, -0, 1]
[1.13679, 1.13679, -0.271508, 0.469307, 0.24565202, -0, -0, 1]
[1.189604, 1.189604, -0.271508, 0.474641, 0.24220097, -0, -0, 1]
[1.13679, 1.13679, -0.271508, 0.469307, 0.24565202, -0, -0, 1]
[1.196211, 1.196211, -0.271508, 0.474428, 0.24169302, -0, -0, 1]
[1.248783, 1.248783, -0.271508, 0.480818, 0.23835301, -0, -0, 1]
[1.189604, 1.189604, -0.271508, 0.474641, 0.24220097, -0, -0, 1]
[1.196211, 1.196211, -0.271508, 0.474428, 0.24169302, -0, -0, 1]
[1.248783, 1.248783, -0.271508, 0.480818, 0.23835301, -0, -0, 1]
[1.196211, 1.196211, -0.271508, 0.474428, 0.24169302, -0, -0, 1]
[1.255661, 1.255661, -0.271508, 0.480639, 0.237827, -0, -0, 1]
